250301 => 220601;0201,10:41==0224,08:27
250301 => 120801;0211,04:17==0221,16:43
250301 => 100101;0204,13:49==0217,04:36
250301 => 020401;0204,14:15==0218,22:27
221001 => 150301;0212,09:18==0213,16:47
221001 => 100701;0201,16:43==0218,04:09
221001 => 060401;0203,12:55==0217,16:30
221001 => 020801;0212,23:53==0220,22:05
220901 => 220601;0203,10:10==0223,23:58
220901 => 061101;0204,04:35==0214,07:32
220901 => 020901;0203,23:19==0216,01:01
220801 => 131101;0203,22:28==0221,13:52
220801 => 061101;0202,04:33==0213,21:12
220801 => 010301;0207,23:07==0216,14:20
220701 => 130801;0202,10:03==0222,04:23
220701 => 060401;0205,22:36==0218,06:48
220701 => 010301;0211,00:52==0215,05:57
220601 => 131101;0202,16:59==0220,22:55
220601 => 100301;0207,16:45==0215,22:33
220601 => 020901;0205,22:21==0214,15:01
220501 => 220701;0211,14:13==0214,04:40
220501 => 100401;0209,01:53==0223,16:23
220501 => 021501;0203,08:39==0217,09:37
220401 => 220601;0203,16:10==0213,19:48
220401 => 130401;0210,20:35==0213,00:58
220401 => 061001;0211,22:44==0215,07:53
220401 => 020901;0204,20:05==0218,03:35
220301 => 220501;0201,10:45==0215,18:24
220301 => 130301;0208,14:36==0216,17:47
220301 => 060401;0212,05:04==0214,08:27
220301 => 010501;0203,19:45==0214,01:38
220201 => 130801;0210,04:31==0217,20:55
220201 => 061301;0209,06:46==0223,11:53
220201 => 021201;0202,02:46==0214,13:39
220101 => 220401;0207,14:41==0219,19:40
220101 => 061001;0212,22:32==0218,21:44
220101 => 010501;0211,18:55==0224,12:07
190301 => 150301;0204,12:39==0221,10:35
190301 => 100901;0211,20:25==0222,03:46
190301 => 050101;0204,04:00==0216,15:13
190201 => 190301;0211,17:38==0215,06:13
190201 => 101101;0207,00:54==0214,15:20
190201 => 022001;0202,15:58==0217,21:11
190201 => 020301;0211,02:56==0223,19:22
190101 => 120801;0211,14:05==0218,14:29
190101 => 070101;0212,04:49==0216,20:25
190101 => 020201;0205,16:43==0222,03:20
150901 => 120301;0209,03:57==0223,17:55
150901 => 070101;0207,08:38==0219,17:11
150901 => 020101;0203,04:19==0216,22:19
150801 => 120201;0202,21:59==0219,02:32
150801 => 021901;0210,18:55==0220,11:50
150801 => 020101;0212,03:39==0221,03:44
150701 => 120301;0209,03:16==0214,21:50
150701 => 090101;0204,11:50==0224,21:04
150401 => 190101;0201,16:00==0224,06:27
150401 => 101001;0206,15:32==0223,13:57
150401 => 021601;0203,00:50==0217,21:29
150301 => 190301;0208,05:44==0214,06:13
150301 => 120701;0208,07:46==0217,15:20
150301 => 100501;0210,22:33==0214,13:40
150301 => 021201;0204,09:40==0215,09:04
150201 => 190101;0209,16:54==0213,02:49
150201 => 120101;0211,10:16==0213,06:50
150201 => 021301;0207,04:19==0216,15:31
131201 => 150301;0208,07:19==0216,01:18
131201 => 100101;0204,12:23==0220,02:33
131201 => 021501;0212,11:20==0224,20:36
131201 => 010701;0201,20:02==0213,13:07
131101 => 220101;0209,07:25==0220,02:31
131101 => 060701;0205,17:23==0223,14:06
131101 => 021101;0202,19:10==0220,13:34
131001 => 220801;0207,16:58==0222,23:09
131001 => 130401;0208,04:13==0220,21:05
131001 => 061301;0209,19:32==0214,23:44
131001 => 021101;0203,06:09==0219,05:03
130901 => 220801;0206,00:09==0215,23:11
130901 => 101001;0201,14:52==0217,10:54
130901 => 060201;0204,13:21==0214,01:33
130901 => 020101;0205,03:07==0216,21:39
130801 => 220401;0207,05:59==0223,22:58
130801 => 130301;0206,08:16==0214,14:02
130801 => 061101;0211,16:41==0224,18:52
130801 => 021501;0211,16:33==0214,12:53
130801 => 020101;0211,13:16==0224,07:14
130701 => 130801;0205,20:43==0222,10:14
130701 => 060501;0202,15:32==0220,22:48
130701 => 020401;0206,13:04==0221,16:36
130601 => 220301;0207,02:52==0219,18:16
130601 => 100301;0201,11:19==0223,21:35
130601 => 021101;0212,18:33==0220,08:49
130501 => 221001;0208,06:03==0217,13:48
130501 => 131101;0212,00:24==0215,19:58
130501 => 100501;0211,22:30==0217,02:45
130501 => 021901;0205,01:37==0222,20:04
130501 => 020301;0209,02:14==0224,05:53
130401 => 131001;0207,06:22==0223,08:45
130401 => 060501;0207,04:51==0220,14:48
130401 => 020401;0206,22:41==0217,12:51
130301 => 131201;0202,04:31==0214,16:30
130301 => 061301;0201,15:25==0213,15:53
130301 => 021701;0205,04:53==0213,14:33
130301 => 010701;0201,08:11==0213,18:19
130201 => 131101;0204,02:31==0218,04:02
130201 => 060801;0211,07:05==0213,22:36
130201 => 021201;0210,01:52==0218,22:37
130101 => 220201;0206,08:53==0219,05:48
130101 => 100501;0209,09:24==0219,10:06
130101 => 021501;0208,22:17==0214,21:51
